WEEK 1	Mon	Tue	Wed	Thu	Fri	Sat	Sun
	—	—	—	—	—	Warm up	Warm up
		—	—	—	—	Exercise 1	Exercise 1
		—	—	—	—	Exercise 2	Exercise 2
		—	—	—	—	Exercise 3	Exercise 3
		—	—	—	—	Exercise 4	Exercise 4
		—	—	—	—	Exercise 5	Exercise 5
		—	—	—	—	Stretching	Stretching
		—	—	—	—		
WEEK 2	Mon	Tue	Wed	Thu	Fri	Sat	Sun
	Long exercise video	Long exercise video	Warm up	Warm up	Warm up	Warm up	Long exercise video
		—	Exercise 1	Exercise 1	Exercise 1	Exercise 1	
		—	Exercise 2	Exercise 2	Exercise 2	Exercise 2	
		—	Exercise 3	Exercise 3	Exercise 3	Exercise 3	
		—	Exercise 4	Exercise 4	Exercise 4	Exercise 4	
		—	Exercise 5	Exercise 5	Exercise 5	Exercise 5	
		—	Stretching	Stretching	Stretching	Stretching	
		—					
WEEK 3	Mon	Tue	Wed	Thu	Fri	Sat	Sun
	Long exercise video	Warm up	Warm up	Warm up	Warm up	Long exercise video	Long exercise video
		Exercise 1	Exercise 1	Exercise 1	Exercise 1		
		Exercise 2	Exercise 2	Exercise 2	Exercise 2		
		Exercise 3	Exercise 3	Exercise 3	Exercise 3		
		Exercise 4	Exercise 4	Exercise 4	Exercise 4		
		Exercise 5	Exercise 5	Exercise 5	Exercise 5		
		Stretching	Stretching	Stretching	Stretching		
							
WEEK 4	Mon	Tue	Wed	Thu	Fri	Sat	Sun
	Warm up	Warm up	Warm up	Warm up	Long exercise video	Long exercise video	Warm up
	Exercise 1	Exercise 1	Exercise 1	Exercise 1			Exercise 1
	Exercise 2	Exercise 2	Exercise 2	Exercise 2			Exercise 2
	Exercise 3	Exercise 3	Exercise 3	Exercise 3			Exercise 3
	Exercise 4	Exercise 4	Exercise 4	Exercise 4			Exercise 4
	Exercise 5	Exercise 5	Exercise 5	Exercise 5			Exercise 5
	Stretching	Stretching	Stretching	Stretching			Stretching
WEEK 5	Mon	Tue	Wed	Thu	Fri	Sat	Sun
	Warm up	—	—	—	—	—	—
	Exercise 1	—	—	—	—	—	—
	Exercise 2	—	—	—	—	—	—
	Exercise 3	—	—	—	—	—	—
	Exercise 4	—	—	—	—	—	—
	Exercise 5	—	—	—	—	—	—
	Stretching	—	—	—	—	—	—
